epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,472.35,0.9976,0.47513,0.36013,0.60118,1.09893,0.98458,1,0.995,0.76693,0.98458,1,0.995,0.96253,0.85306,0.1932,0.09695,0.53959,1.02104,0.0011857,0.0011857,0.0011857
7,549.059,0.9909,0.57002,0.39311,0.59121,1.14699,1,0.99196,0.995,0.74235,1,0.99196,0.995,0.93496,0.91342,0.23824,0.1028,0.56608,1.0268,0.00133132,0.00133132,0.00133132
8,625.22,0.97978,0.533,0.32447,0.59268,1.09562,0.97904,1,0.99459,0.72226,0.97904,1,0.99459,0.98989,0.97438,0.18313,0.10073,0.52611,1.03284,0.0014611,0.0014611,0.0014611
9,702.489,0.99889,0.57961,0.34646,0.59271,1.10576,0.99829,1,0.995,0.73878,0.99829,1,0.995,0.96695,0.93254,0.20777,0.09975,0.57651,1.02557,0.001472,0.001472,0.001472
10,781.57,0.99462,0.41936,0.36496,0.58571,1.11191,0.9978,1,0.995,0.76198,0.9978,1,0.995,0.94659,0.83289,0.19065,0.10772,0.50811,0.99418,0.001406,0.001406,0.001406
11,858.551,0.93339,0.3636,0.36205,0.55729,1.09624,0.99741,1,0.995,0.74914,0.99741,1,0.995,0.9821,0.88079,0.17627,0.10343,0.51076,0.99181,0.00134,0.00134,0.00134
12,935.275,0.90291,0.34697,0.33504,0.55238,1.07825,0.99756,1,0.995,0.79381,0.99756,1,0.995,0.99404,0.81703,0.14618,0.11345,0.46816,0.96567,0.001274,0.001274,0.001274
13,1012.11,0.89549,0.39493,0.35961,0.54796,1.04661,0.99814,1,0.995,0.75962,0.99814,1,0.995,0.98877,0.86719,0.13981,0.1075,0.47239,1.00353,0.001208,0.001208,0.001208
14,1087.36,0.97624,0.41212,0.35403,0.57212,1.10412,0.99696,1,0.995,0.77026,0.99696,1,0.995,0.99312,0.86232,0.14301,0.09284,0.51336,1.01377,0.001142,0.001142,0.001142
15,1163.96,0.89686,0.39228,0.34894,0.55608,1.0588,0.9985,1,0.995,0.75561,0.9985,1,0.995,0.98958,0.85688,0.14161,0.10432,0.46782,1.00095,0.001076,0.001076,0.001076
16,1246.72,0.90257,0.52986,0.34749,0.56527,1.06897,0.99748,1,0.995,0.73893,0.99748,1,0.995,0.99371,0.88351,0.11842,0.09856,0.47272,1.01069,0.00101,0.00101,0.00101
17,1330.51,0.89812,0.40502,0.30973,0.53187,1.07418,0.99318,1,0.995,0.75575,0.99318,1,0.995,0.99366,0.86281,0.11507,0.09976,0.51177,1.00269,0.000944,0.000944,0.000944
18,1402.91,0.83748,0.33133,0.37738,0.51559,1.04265,0.99503,1,0.995,0.77004,0.99503,1,0.995,0.99362,0.84607,0.10738,0.09911,0.44459,0.98817,0.000878,0.000878,0.000878
19,1474.05,0.8553,0.26979,0.28903,0.50251,1.02778,0.99721,1,0.995,0.78549,0.99721,1,0.995,0.995,0.83017,0.10637,0.10109,0.448,0.97626,0.000812,0.000812,0.000812
20,1546.91,0.81025,0.28243,0.32337,0.49623,1.01339,0.99823,1,0.995,0.78218,0.99823,1,0.995,0.99371,0.82727,0.11171,0.11018,0.44686,0.96812,0.000746,0.000746,0.000746
21,1618.44,0.81951,0.26082,0.10757,0.48876,1.03725,0.99842,1,0.995,0.78005,0.99842,1,0.995,0.99192,0.85265,0.13012,0.10346,0.4413,0.95694,0.00068,0.00068,0.00068
22,1689.94,0.80662,0.21339,0.10475,0.46808,0.99852,0.99088,1,0.995,0.78721,0.99088,1,0.995,0.995,0.8054,0.10722,0.09324,0.43849,0.95838,0.000614,0.000614,0.000614
23,1761.44,0.77151,0.23942,0.08911,0.45572,0.98031,0.97748,1,0.99418,0.79265,0.97748,1,0.99418,0.99254,0.80814,0.12274,0.08411,0.45322,0.9572,0.000548,0.000548,0.000548
24,1832.78,0.748,0.17768,0.09036,0.43921,1.01582,0.9766,1,0.99418,0.80644,0.9766,1,0.99418,0.99101,0.7943,0.10673,0.08232,0.42204,0.95045,0.000482,0.000482,0.000482
25,1909.13,0.76321,0.16424,0.08554,0.41997,0.98108,0.95665,1,0.99378,0.79187,0.95665,1,0.99378,0.99145,0.79835,0.11395,0.07086,0.41898,0.95622,0.000416,0.000416,0.000416
1,95.348,0.76171,0.26583,0.32792,0.50063,0.99305,0.99678,1,0.995,0.75346,0.99678,1,0.995,0.995,0.85159,0.11088,0.08638,0.43339,0.99185,0.00022,0.00022,0.00022
2,168.38,0.80525,0.2891,0.35231,0.47239,1.0049,0.9973,1,0.995,0.78651,0.9973,1,0.995,0.99421,0.82698,0.09948,0.09761,0.40892,0.97072,0.00044482,0.00044482,0.00044482
3,241.326,0.79765,0.31367,0.3264,0.49449,1.0038,0.99826,1,0.995,0.78411,0.99826,1,0.995,0.98647,0.82021,0.1241,0.0993,0.43063,0.95214,0.0006538,0.0006538,0.0006538
4,313.805,0.78294,0.23175,0.30155,0.46633,0.99592,0.99883,1,0.995,0.78769,0.99883,1,0.995,0.995,0.82423,0.12961,0.10615,0.44669,0.97569,0.00084694,0.00084694,0.00084694
5,386.418,0.79117,0.26025,0.30295,0.49133,1.00091,0.99563,1,0.995,0.80319,0.99563,1,0.995,0.98882,0.79959,0.14862,0.10995,0.42251,0.95354,0.00102424,0.00102424,0.00102424
6,458.898,0.82503,0.27845,0.30003,0.48422,1.00009,0.99069,1,0.995,0.77174,0.99069,1,0.995,0.93709,0.84847,0.26135,0.11729,0.43231,0.94732,0.0011857,0.0011857,0.0011857
7,536.605,0.8228,0.39777,0.33757,0.49262,1.02483,0.99431,1,0.995,0.74824,0.99431,1,0.995,0.97228,0.89163,0.22815,0.11314,0.47732,0.97481,0.00133132,0.00133132,0.00133132
8,601.032,0.80088,0.3176,0.28105,0.49082,0.99533,0.98084,1,0.995,0.7377,0.98084,1,0.995,0.98493,0.91746,0.25114,0.11023,0.49294,1.03346,0.0014611,0.0014611,0.0014611
9,664.793,0.82794,0.43215,0.29181,0.49987,1.00417,0.93789,1,0.99378,0.73903,0.93789,1,0.99378,0.95995,0.92023,0.26297,0.10074,0.65704,1.04784,0.001472,0.001472,0.001472
10,728.463,0.86015,0.3065,0.30457,0.50353,1.01386,0.99714,1,0.995,0.76979,0.99714,1,0.995,0.99009,0.88036,0.17209,0.11198,0.47601,0.97672,0.001406,0.001406,0.001406
11,791.724,0.87031,0.28747,0.30522,0.49349,1.03503,0.99862,1,0.995,0.7753,0.99862,1,0.995,0.98927,0.87547,0.16784,0.09961,0.46801,0.9903,0.00134,0.00134,0.00134
12,858.229,0.82374,0.28983,0.28046,0.48058,1.01758,0.99578,0.97917,0.9942,0.77748,0.99578,0.97917,0.9942,0.97952,0.80901,0.18601,0.1028,0.46282,0.97741,0.001274,0.001274,0.001274
13,924.323,0.77477,0.33469,0.29925,0.47816,0.98727,0.9918,0.97917,0.99382,0.7993,0.9918,0.97917,0.99382,0.987,0.79289,0.11912,0.10007,0.43762,0.9444,0.001208,0.001208,0.001208
14,994.116,0.80787,0.33038,0.29136,0.48167,1.00041,0.99443,1,0.995,0.76757,0.99443,1,0.995,0.995,0.89857,0.09789,0.08951,0.4557,0.98763,0.001142,0.001142,0.001142
15,1132.35,0.79641,0.25118,0.29049,0.46966,0.99649,0.97952,1,0.995,0.78559,0.97952,1,0.995,0.98974,0.83873,0.10919,0.09564,0.448,0.95676,0.001076,0.001076,0.001076
16,1266.83,0.82455,0.36936,0.2901,0.47868,1.01995,0.99623,1,0.995,0.77291,0.99623,1,0.995,0.9887,0.8835,0.13127,0.08722,0.43139,0.98482,0.00101,0.00101,0.00101
17,1401.42,0.79085,0.33885,0.25232,0.45958,1.00248,0.99437,1,0.995,0.77643,0.99437,1,0.995,0.995,0.83462,0.11811,0.08397,0.43233,0.97221,0.000944,0.000944,0.000944
18,1537.88,0.69733,0.28717,0.32722,0.42653,0.96056,0.99403,1,0.995,0.79017,0.99403,1,0.995,0.99196,0.82679,0.10601,0.09148,0.42323,0.95636,0.000878,0.000878,0.000878
19,1666.26,0.76033,0.2781,0.2407,0.46037,0.96886,0.97582,1,0.995,0.77281,0.97582,1,0.995,0.98846,0.83638,0.13775,0.09561,0.46244,0.93464,0.000812,0.000812,0.000812
20,1801.18,0.71622,0.26741,0.27537,0.4396,0.95628,0.97566,1,0.99378,0.77072,0.97566,1,0.99378,0.99378,0.8069,0.09239,0.10364,0.41305,0.92472,0.000746,0.000746,0.000746
21,1930.15,0.68828,0.19006,0.0943,0.40826,0.95836,0.98615,1,0.995,0.79246,0.98615,1,0.995,0.995,0.80421,0.12402,0.09022,0.40286,0.91794,0.00068,0.00068,0.00068
